2022-06-28 11:59:04,401 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần', 'Váy', 'Đầm']
2022-06-28 12:02:59,349 | CrawlShopeeService | [INFO] | ITEM OF Áo IS REMOVED
2022-06-28 12:03:00,359 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 1268
2022-06-28 12:03:00,441 | CrawlShopeeService | [INFO] | ITEM OF Quần IS REMOVED
2022-06-28 12:03:01,360 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Quần. NUMBER OF LINK HAVE BEEN CRAWLED: 1231
2022-06-28 12:03:01,446 | CrawlShopeeService | [INFO] | ITEM OF Váy IS REMOVED
2022-06-28 12:03:03,165 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Váy. NUMBER OF LINK HAVE BEEN CRAWLED: 2475
2022-06-28 12:03:03,267 | CrawlShopeeService | [INFO] | ITEM OF Đầm IS REMOVED
2022-06-28 12:03:04,796 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Đầm. NUMBER OF LINK HAVE BEEN CRAWLED: 2313
2022-06-28 12:04:04,401 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:129
2022-06-28 12:04:04,402 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR []
2022-06-28 12:05:38,817 | uvicorn.error | [INFO] | Shutting down
2022-06-28 12:05:38,924 | uvicorn.error | [INFO] | Waiting for application shutdown.
2022-06-28 12:05:38,926 | uvicorn.error | [INFO] | Application shutdown complete.
2022-06-28 12:05:38,927 | uvicorn.error | [INFO] | Finished server process [15268]
2022-06-28 12:06:40,362 | CrawlData | [INFO] | Create Crawl data object
2022-06-28 12:06:40,362 | CrawlData | [INFO] | Start crawl data Shopee
2022-06-28 12:06:40,532 | uvicorn.error | [INFO] | Started server process [26300]
2022-06-28 12:06:40,532 | uvicorn.error | [INFO] | Waiting for application startup.
2022-06-28 12:06:40,532 | uvicorn.error | [INFO] | Application startup complete.
2022-06-28 12:06:40,533 | uvicorn.error | [INFO] | Uvicorn running on http://0.0.0.0:8002 (Press CTRL+C to quit)
2022-06-28 12:06:59,042 | CrawlShopeeService | [INFO] | START CRAWL SHOPEE SERVICE
2022-06-28 12:06:59,042 | CrawlShopeeService | [INFO] | CRAWL ITEM OF KEYWORDS: ['Mũ', 'Áo', 'Quần', 'Váy']
2022-06-28 12:06:59,406 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 12:06:59,406 | Keyword | [INFO] | WAIT 5 MINUTE
2022-06-28 12:08:16,740 | CrawlData | [INFO] | Create Crawl data object
2022-06-28 12:08:16,740 | CrawlData | [INFO] | Start crawl data Shopee
2022-06-28 12:08:16,874 | uvicorn.error | [INFO] | Started server process [14620]
2022-06-28 12:08:16,875 | uvicorn.error | [INFO] | Waiting for application startup.
2022-06-28 12:08:16,875 | uvicorn.error | [INFO] | Application startup complete.
2022-06-28 12:08:16,876 | uvicorn.error | [INFO] | Uvicorn running on http://0.0.0.0:8002 (Press CTRL+C to quit)
2022-06-28 12:08:35,066 | CrawlShopeeService | [INFO] | START CRAWL SHOPEE SERVICE
2022-06-28 12:08:35,068 | CrawlShopeeService | [INFO] | CRAWL ITEM OF KEYWORDS: ['Mũ']
2022-06-28 12:08:37,430 | Keyword | [ERROR] | SHOPEE API CAN BE BAN: 'total_count'
2022-06-28 12:08:37,431 | Keyword | [INFO] | WAIT 5 MINUTE
